BenchmarkCode,DateFrom,DateTo,Performance
JB01,2014-02-01,2014-02-28,-0.1159445328
JB01,2014-03-01,2014-03-31,-3.7579803424
JB01,2014-04-01,2014-04-30,0.6331979186
JB01,2014-05-01,2014-05-31,-0.0000017427
JB01,2014-06-01,2014-06-30,0.8689130083
JB01,2014-07-01,2014-07-31,0.0000014457
JB01,2014-08-01,2014-08-31,0.1336698587
JB01,2014-09-01,2014-09-30,0.4894698729
JB01,2014-10-01,2014-10-31,0.2509248726
JB01,2014-11-01,2014-11-30,2.3262661883
JB01,2014-12-01,2014-12-31,0.1151076972
JB01,2015-01-01,2015-01-31,-14.7312451574
JB01,2015-02-01,2015-02-28,0.0000002382
JB01,2015-03-01,2015-03-31,0.2865330000
JB01,2015-04-01,2015-04-30,0.0000004646
JB01,2015-05-01,2015-05-31,0.0000000000
JB01,2015-06-01,2015-06-30,0.1344540000
JB01,2015-07-01,2015-07-31,2.9372271532
JB01,2015-08-01,2015-08-31,-0.1304420000
JB01,2015-09-01,2015-09-30,0.1306120000
JB01,2015-10-01,2015-10-31,0.1467470000
JB01,2015-11-01,2015-11-30,2.0351678612
JB01,2015-12-01,2015-12-31,1.9945755591
JB01,2016-01-01,2016-01-31,5.6007504060
JB01,2016-02-01,2016-02-29,0.6222230040
JB01,2016-03-01,2016-03-31,3.5482920590
JB01,2016-04-01,2016-04-30,0.5971838461
JB01,2016-05-01,2016-05-31,0.1130740000
JB01,2016-06-01,2016-06-30,0.2400113331
JB01,2016-07-01,2016-07-31,0.0000000000
JB01,2016-08-01,2016-08-31,0.2394363338
JB01,2016-09-01,2016-09-30,-0.0000001186
JB01,2016-10-01,2016-10-31,-0.1264580000
JB01,2016-11-01,2016-11-30,0.1266180000
JB01,2016-12-01,2016-12-31,-0.0000001186
JB01,2017-01-01,2017-01-31,0.0000000000
JB01,2017-02-01,2017-02-28,-0.4777300784
JB01,2017-03-01,2017-03-31,0.3529584733
JB01,2017-04-01,2017-04-30,0.1266180000
JB01,2017-05-01,2017-05-31,-0.1264580000
JB01,2017-06-01,2017-06-30,-0.3517165161
JB01,2017-07-01,2017-07-31,-3.6425246054
JB01,2017-08-01,2017-08-31,-0.1172160000
JB01,2017-09-01,2017-09-30,-0.2493759566
JB01,2017-10-01,2017-10-31,0.6176466599
JB01,2017-11-01,2017-11-30,0.2338495544
JB01,2017-12-01,2017-12-31,0.7290763905
JB01,2018-01-01,2018-01-31,-0.1158075183
JB01,2018-02-01,2018-02-28,-0.1159420000
JB01,2018-03-01,2018-03-31,-3.7579796750
JB01,2018-04-01,2018-04-30,0.6331973540
JB01,2018-05-01,2018-05-31,0.0000000000
JB01,2018-06-01,2018-06-30,0.8689135733
JB01,2018-07-01,2018-07-31,0.0000000000
JB01,2018-08-01,2018-08-31,0.1336693657
JB01,2018-09-01,2018-09-30,0.4894687316
JB01,2018-10-01,2018-10-31,0.2509228567
JB01,2018-11-01,2018-11-30,2.3262662202
JB01,2018-12-01,2018-12-31,0.1151076979
JB01,2019-01-01,2019-01-31,0.2443230000
JB03,2005-01-01,2005-01-31,-0.1244987114
JB03,2005-02-01,2005-02-28,35.0415531214
JB03,2005-03-01,2005-03-31,-9.7025634170
JB03,2005-04-01,2005-04-30,-6.4288959788
JB03,2005-05-01,2005-05-31,-12.8065071478
JB03,2005-06-01,2005-06-30,5.4573290575
JB03,2005-07-01,2005-07-31,1.3201333302
JB03,2005-08-01,2005-08-31,-7.0618891922
JB03,2005-09-01,2005-09-30,-1.6262458740
JB03,2005-10-01,2005-10-31,3.2064982693
JB03,2005-11-01,2005-11-30,-0.2347424503
JB03,2005-12-01,2005-12-31,0.0553624125
JB03,2006-01-01,2006-01-31,-0.1244978827
JB03,2006-02-01,2006-02-28,-0.4847627494
JB03,2006-03-01,2006-03-31,-7.1677108766
JB03,2006-04-01,2006-04-30,-1.0494740900
JB03,2006-05-01,2006-05-31,0.1515137320
JB03,2006-06-01,2006-06-30,0.0756429794
JB03,2006-07-01,2006-07-31,-0.7558564212
JB03,2006-08-01,2006-08-31,-2.8941371967
JB03,2006-09-01,2006-09-30,-5.4901981937
JB03,2006-10-01,2006-10-31,-1.8257274908
JB03,2006-11-01,2006-11-30,-6.1707534008
JB03,2006-12-01,2006-12-31,0.0000002804
JB03,2007-01-01,2007-01-31,0.4504509544
JB03,2007-02-01,2007-02-28,-0.0000023317
JB03,2007-03-01,2007-03-31,-0.0000036863
JB03,2007-04-01,2007-04-30,-0.0000036863
JB03,2007-05-01,2007-05-31,-0.0000055294
JB03,2007-06-01,2007-06-30,-0.0000017963
JB03,2007-07-01,2007-07-31,0.0000005924
JB03,2007-08-01,2007-08-31,-0.0000018042
JB03,2007-09-01,2007-09-30,0.0000003237
JB03,2007-10-01,2007-10-31,0.0000004046
JB03,2007-11-01,2007-11-30,0.0000002904
JB03,2007-12-01,2007-12-31,0.3587449222
JB03,2008-01-01,2008-01-31,0.0178735225
JB03,2008-02-01,2008-02-29,0.0714806663
JB03,2008-03-01,2008-03-31,0.0000012657
JB03,2008-04-01,2008-04-30,0.0000005363
JB03,2008-05-01,2008-05-31,0.0000005363
JB03,2008-06-01,2008-06-30,0.0892860654
JB03,2008-07-01,2008-07-31,-9.4558427891
JB03,2008-08-01,2008-08-31,-0.0000022893
JB03,2008-09-01,2008-09-30,-0.2364555703
JB03,2008-10-01,2008-10-31,0.2370135954
JB03,2008-11-01,2008-11-30,0.9852213673
JB03,2008-12-01,2008-12-31,-0.0000016987
JB03,2009-01-01,2009-01-31,-0.8585363236
JB03,2009-02-01,2009-02-28,0.0393624430
JB03,2009-03-01,2009-03-31,0.8262843643
JB03,2009-04-01,2009-04-30,-0.0000030605
JB03,2009-05-01,2009-05-31,0.0000011432
JB03,2009-06-01,2009-06-30,0.4878068444
JB03,2009-07-01,2009-07-31,-0.1553419044
JB03,2009-08-01,2009-08-31,-0.1750280384
JB03,2009-09-01,2009-09-30,-0.0000006740
JB03,2009-10-01,2009-10-31,0.1753368170
JB03,2009-11-01,2009-11-30,0.9723869196
JB03,2009-12-01,2009-12-31,0.4815095558
JB03,2010-01-01,2010-01-31,8.7789910871
JB03,2010-02-01,2010-02-28,-0.0000001780
JB03,2010-03-01,2010-03-31,0.8810577719
JB03,2010-04-01,2010-04-30,0.8733622626
JB03,2010-05-01,2010-05-31,0.4328996190
JB03,2010-06-01,2010-06-30,0.4310335509
JB03,2010-07-01,2010-07-31,2.2832636555
JB03,2010-08-01,2010-08-31,2.5176250723
JB03,2010-09-01,2010-09-30,0.4092990175
JB03,2010-10-01,2010-10-31,-0.9457034279
JB03,2010-11-01,2010-11-30,0.1316877646
JB03,2010-12-01,2010-12-31,0.6904504528
JB03,2011-01-01,2011-01-31,-0.4081628903
JB03,2011-02-01,2011-02-28,0.0000003387
JB03,2011-03-01,2011-03-31,0.1311462538
JB03,2011-04-01,2011-04-30,0.1473462428
JB03,2011-05-01,2011-05-31,0.2615647411
JB03,2011-06-01,2011-06-30,0.1467466332
JB03,2011-07-01,2011-07-31,2.5724487222
JB03,2011-08-01,2011-08-31,-0.0000018251
JB03,2011-09-01,2011-09-30,0.1269822821
JB03,2011-10-01,2011-10-31,0.1426751886
JB03,2011-11-01,2011-11-30,3.1660598698
JB03,2011-12-01,2011-12-31,1.6572055068
JB03,2012-01-01,2012-01-31,5.4037743257
JB03,2012-02-01,2012-02-29,0.2434496046
JB03,2012-03-01,2012-03-31,3.3285730229
JB03,2012-04-01,2012-04-30,0.9263096974
JB03,2012-05-01,2012-05-31,0.2328770243
JB03,2012-06-01,2012-06-30,0.5603382349
JB03,2012-07-01,2012-07-31,-0.1087253049
JB03,2012-08-01,2012-08-31,0.1088449777
JB03,2012-09-01,2012-09-30,0.0000015480
JB03,2012-10-01,2012-10-31,0.0000019350
JB03,2012-11-01,2012-11-30,0.0000018944
JB03,2012-12-01,2012-12-31,-0.0000013059
JB03,2013-01-01,2013-01-31,0.1223156301
JB03,2013-02-01,2013-02-28,-0.5701110096
JB03,2013-03-01,2013-03-31,0.4505108484
JB03,2013-04-01,2013-04-30,-0.2174510734
JB03,2013-05-01,2013-05-31,-0.1225823022
JB03,2013-06-01,2013-06-30,0.1227314242
JB03,2013-07-01,2013-07-31,-3.6366105917
JB03,2013-08-01,2013-08-31,-0.3533562948
JB03,2013-09-01,2013-09-30,-0.8226949191
JB03,2013-10-01,2013-10-31,0.8295217761
JB03,2013-11-01,2013-11-30,1.0638283117
JB03,2013-12-01,2013-12-31,0.4631588357
JB03,2014-01-01,2014-01-31,-0.3492612983
JB03,2014-02-01,2014-02-28,-0.1121523003
